lat,long,h,wind_min, wind_max,power_ninth_decile,power_max
22.0,78.5,100,6.75, 8.19, 604.5, 819.85
24.0,76.0,50,8.65, 8.66, 758.86, 759.26
26.0,72.0,10,7.13, 7.14, 494.32, 494.82
22.5,74.5,10,7.22, 7.25, 503.22, 503.47
26.5,79.5,10,4.9, 5.38, 277.06, 283.76
19.5,72.5,150,9.26, 9.28, 985.6900024414062, 986.3
31.0,76.0,200,9.37, 9.39, 961.8800048828125, 962.72
20.5,75.5,100,9.34, 9.36, 932.03, 932.86
26.0,76.0,50,8.55, 8.56, 740.4, 740.97
25.5,81.0,10,6.66, 6.76, 450.1, 452.45
21.0,80.5,150,7.06, 7.49, 585.83, 600.39
23.0,72.0,10,7.02, 7.06, 499.01, 499.95
24.5,74.0,100,9.13, 9.15, 894.68, 894.86
27.0,80.0,10,4.79, 7.64, 457.01, 788.32
26.0,78.0,50,8.11, 8.15, 686.65, 688.43
13.0,78.0,150,8.77, 9, 874.23, 880.94
25.0,74.0,150,9.32, 9.34, 964.09, 964.37
19.0,73.0,50,8.39, 8.43, 790.84, 791.27
34.0,77.5,150,9.39, 9.4, 953.83, 954.1
12.0,77.5,100,8.3, 8.56, 746.28, 757.91
30.5,77.5,10,7.09, 7.1, 475.86, 476.05
22.0,73.0,150,9.19, 9.2, 966.93, 967.37
25.0,78.5,100,8.61, 8.64, 779.95, 780.84
12.5,77.5,150,8.31, 8.82, 820.28, 847.18
25.5,80.5,10,5.99, 6.27, 370.15, 377.31
34.0,78.5,100,8.98, 9, 852.11, 852.52
23.0,74.0,200,9.35, 9.4, 1018.01, 1019.61
35.0,78.5,10,7.02, 7.06, 479.39, 479.61
19.0,79.5,100,6.3, 6.55, 425.99, 431.91
17.0,76.0,50,8.74, 8.81, 878.09, 882.89
31.5,78.0,200,9.29, 9.31, 1027.22, 1027.43
23.0,74.0,10,7.11, 7.13, 507.54, 507.81
20.0,80.5,150,6.89, 9.41, 834.76, 1213.96
24.0,74.5,100,9.15, 9.22, 888.04, 888.8
22.5,73.5,10,7.11, 7.13, 509.78, 510.39
28.0,76.0,10,7.14, 7.15, 470.84, 471.09
11.5,77.5,150,8.49, 8.61, 802.34, 805.56
17.5,75.5,50,8.61, 8.63, 826.28, 826.79
24.5,72.0,10,7.08, 7.12, 495.79, 496.41
22.5,81.0,100,8.43, 8.56, 753.31, 759.34
20.0,75.0,200,9.77, 9.78, 1163.33, 1163.82
18.5,79.0,150,4.2, 7.63, 913.45, 1059
32.5,77.5,50,8.38, 8.38, 715.09, 715.2
20.0,74.0,150,9.34, 9.4, 1011.45, 1015.04
12.5,78.0,200,8.6, 8.86, 872.75, 878.29
23.0,75.5,200,9.81, 9.81, 1132.19, 1133.12
25.5,79.5,50,5.83, 6.71, 533.5, 616.91
20.0,81.5,100,8.88, 8.88, 814.5499877929688, 814.65
14.5,76.0,100,9.4, 9.43, 1044.75, 1047.57
27.0,76.5,150,9.49, 9.51, 988.53, 989.49
19.0,78.5,10,3.51, 3.98, 225.3, 240.82
27.0,81.5,150,9.12, 9.12, 937.29, 937.7
25.0,79.0,10,5.72, 6.07, 349.32, 351.15
35.5,77.5,10,7.17, 7.18, 468.9599914550781, 469.86
22.5,73.5,150,9.28, 9.29, 970.75, 970.91
30.5,78.0,10,7.03, 7.04, 480.44, 480.9
30.0,76.0,10,7.09, 7.11, 469.99, 470.2
25.5,72.0,200,9.31, 9.35, 977.03, 978.54
19.5,77.0,10,6.56, 6.71, 437.5, 438.33
20.0,76.0,10,7.2, 7.23, 512.37, 513.15
18.5,72.0,100,9.1, 9.12, 928.1900024414062, 928.49
20.5,78.0,10,5.03, 5.43, 279.53, 285.8
26.5,76.0,50,8.52, 8.53, 735.47, 736.05
25.5,79.0,150,7.98, 8.3, 749.49, 754.67
26.0,81.5,10,7.01, 7.02, 483.0899963378906, 483.2
31.5,78.5,50,8.24, 8.25, 721.36, 721.52
19.0,76.0,50,8.54, 8.58, 797.4, 798.51
21.5,78.5,50,5.17, 6.21, 454.8, 474.17
30.5,77.0,200,9.43, 9.44, 1014.62, 1016.06
13.5,78.0,10,4.81, 6.43, 388.12, 402.41
23.0,78.0,150,7.51, 8.65, 720.95, 769.77
30.5,76.5,10,7.08, 7.09, 470.32, 470.51
14.5,77.0,50,7.34, 8.33, 838.69, 888.09
27.0,79.0,50,7.74, 7.89, 654.23, 656.46
22.5,74.0,150,9.26, 9.3, 972.41, 973.66
33.0,77.5,50,8.39, 8.41, 715.59, 715.74
16.5,75.5,10,7.35, 7.38, 562.12, 563.61
24.5,79.0,50,6.62, 7.16, 512.43, 514.29
23.5,74.5,10,7.17, 7.21, 501.35, 501.6
13.5,78.0,150,8.5, 8.93, 873.07, 903.15
26.0,72.5,100,9.08, 9.08, 879.79, 879.98
20.5,79.5,10,2.91, 6.82, 360.97, 933.22
18.5,80.5,200,8.09, 8.28, 748.68, 755.15
12.0,78.5,50,6.27, 6.87, 592.31, 646.72
10.5,78.5,150,8.44, 8.84, 941.1, 990.25
27.5,77.5,10,7.1, 7.12, 478.3, 478.54
14.5,78.0,200,6.27, 10.43, 1075.31, 1718.64
26.0,78.5,100,8.64, 8.71, 798.16, 801.03
26.5,80.0,10,6.79, 7.33, 604.01, 631.53
22.0,79.5,200,10.86, 11.89, 1816.61, 1859.4
25.0,73.5,150,9.28, 9.28, 956.72998046875, 956.8
19.5,74.0,150,9.43, 9.5, 1030.33, 1033.67
16.0,76.0,50,8.81, 8.9, 905.93, 910.32
20.0,74.5,10,7.26, 7.29, 520.8, 521.77
27.5,77.5,200,9.4, 9.43, 1036.24, 1036.95
26.0,75.5,150,9.53, 9.56, 988.63, 990
11.5,77.5,10,6.52, 6.62, 423.65, 424.06
23.5,72.0,10,7.04, 7.07, 497.89, 498.7
16.5,78.5,10,2.15, 10.82, 965.49, 4382.67
15.5,77.5,150,6.38, 11.02, 884.41, 2038.62
27.5,80.5,10,6.66, 6.72, 442.61, 444.91
12.5,76.0,100,9.05, 9.09, 973.62, 974.7
18.5,75.5,10,7.33, 7.34, 536.6, 537.51
19.5,76.0,150,9.47, 9.53, 1035.22, 1035.97
27.5,79.5,100,7.84, 8.1, 668.03, 678.77
19.0,80.0,200,6.49, 8.77, 1084.54, 1177.27
19.0,78.5,100,5.44, 5.93, 459.41, 510.78
27.5,78.0,50,8.27, 8.3, 721.95, 722.73
25.0,72.0,100,9.07, 9.1, 877.23, 877.85
28.0,77.0,150,9.41, 9.43, 982.28, 983.25
34.5,77.5,10,7.16, 7.17, 468.93, 469.54
29.5,76.5,200,9.43, 9.44, 1012.69, 1013.92
26.0,76.0,150,9.54, 9.56, 999.74, 1000
18.0,74.5,150,9.58, 9.61, 1065.42, 1067.41
15.0,75.5,50,8.64, 8.66, 866.94, 867.71
18.0,78.5,10,4.99, 12, 854.57, 3712.34
18.5,78.5,150,5.62, 9.79, 1105.7, 1520.39
22.5,79.5,100,8.79, 10.19, 1339.76, 1415.76
21.5,76.5,50,8.47, 8.48, 755.2, 755.62
25.0,78.5,200,8.8, 8.89, 918.54, 919.49
20.0,80.0,50,7.18, 8.6, 819.07, 899.71
12.0,78.5,150,7.79, 8.34, 856.21, 980.63
18.5,73.0,50,8.41, 8.42, 795.58, 795.94
20.5,74.0,10,7.11, 7.15, 512.61, 513.13
26.0,77.0,150,9.52, 9.54, 1005.63, 1006.04
25.5,77.5,10,7.02, 7.13, 478.71, 478.92
24.5,74.5,100,9.13, 9.18, 887.3, 887.6
18.5,77.5,100,7.24, 7.57, 610.58, 629.24
22.0,72.0,100,8.92, 8.96, 884.29, 886.61
21.0,72.5,10,7.04, 7.06, 511.38, 512.05
10.5,77.5,10,6.58, 6.61, 437.06, 437.69
21.0,72.5,100,8.97, 9, 896.96, 897.3
21.0,79.5,150,6.64, 9.45, 982.77, 1089.36
21.5,78.5,150,6.89, 8.35, 840.14, 872.28
24.5,80.0,100,9.49, 9.92, 1129.44, 1195.96
20.5,79.0,10,3.04, 7.32, 528.91, 892.37
19.0,75.5,10,7.33, 7.35, 533.89, 534.14
19.0,77.0,10,6.48, 6.61, 430.23, 432.83
20.0,72.5,150,9.19, 9.21, 976.1900024414062, 976.52
17.0,76.5,200,9.97, 10.37, 1314.27, 1340.67
28.0,77.5,10,7.09, 7.11, 478.72, 479.04
16.0,78.5,100,3.46, 7.65, 603.25, 838.25
20.5,81.0,200,8.3, 8.52, 805.16, 814.18
21.5,76.5,200,9.47, 9.52, 1081.43, 1082.59
32.5,77.0,50,8.37, 8.38, 711.92, 712.04
12.0,76.0,200,9.23, 9.27, 1061.34, 1063.39
23.5,79.5,50,8.36, 9.24, 1115.12, 1172.81
31.5,77.5,150,9.32, 9.34, 952.34, 952.75
26.5,77.0,100,9.28, 9.3, 887.02, 887.27
19.5,73.5,150,9.27, 9.31, 996.77, 998.23
21.0,75.5,50,8.61, 8.63, 786.04, 786.84
18.0,75.0,150,9.63, 9.66, 1086.77, 1086.99
27.0,75.5,100,9.22, 9.23, 866.08, 866.62
26.5,79.5,200,7.83, 7.99, 740.04, 757.95
25.0,75.0,150,9.5, 9.53, 1002.28, 1004.59
21.5,78.0,200,9.79, 12.51, 1966.24, 2306.83
22.5,79.5,50,7.6, 8.9, 1037.82, 1116.25
25.0,81.5,200,9.12, 9.12, 957.2000122070312, 957.76
21.5,76.5,100,9.19, 9.21, 892.28, 892.93
31.5,76.5,200,9.39, 9.4, 982.11, 982.97
13.0,77.5,100,8.01, 8.8, 772.68, 813.52
11.5,76.5,150,8.93, 8.99, 948.93, 951.08
19.5,76.0,10,7.23, 7.27, 519.23, 519.9
28.5,78.0,100,9.05, 9.07, 859.05, 859.34
18.5,78.0,10,2.75, 7.17, 360.69, 943.28
27.5,81.5,200,9.13, 9.13, 981.04, 981.31
14.0,75.0,150,9.43, 9.46, 1068.75, 1069.97
19.0,80.0,100,4.81, 7.48, 730.55, 839.96
27.0,77.5,100,9.11, 9.14, 859.65, 860
18.0,80.0,100,6.97, 8.15, 642.56, 692.03
29.0,76.0,10,7.11, 7.11, 469.56, 469.95
25.0,74.5,50,8.4, 8.44, 752.83, 753.16
16.0,76.0,10,7.5, 7.58, 600.69, 603.66
31.5,78.5,150,9.19, 9.2, 953.9, 954.79
19.0,79.5,200,7.07, 7.33, 588.25, 592.91
11.0,76.5,200,9.01, 9.08, 977.22, 978.72
27.5,75.0,150,9.39, 9.41, 957.79, 958.2
20.0,73.0,10,7.05, 7.06, 515.69, 516.13
16.0,78.5,150,4.23, 8.49, 799.21, 981.71
21.5,77.5,200,8.34, 11.68, 1609.95, 1872.62
26.5,77.0,10,7.23, 7.24, 491.22, 491.72
18.0,73.0,10,7.16, 7.18, 533.56, 534.02
21.0,72.0,100,8.94, 8.98, 893.84, 895.23
26.0,77.0,100,9.3, 9.32, 888.54, 889.38
15.0,77.5,50,4.88, 17.18, 2375.04, 8313.19
19.5,78.5,200,6.88, 7.94, 936.63, 1044.03
16.5,78.0,10,2.22, 12.59, 1121.42, 4345.57
21.0,77.5,200,8.11, 11.02, 1580.9, 1894.96
16.5,77.5,150,6.89, 12.49, 1354.02, 2652.86
20.0,78.0,200,7.53, 7.68, 668.36, 671.32
27.0,77.0,100,9.26, 9.29, 883.45, 883.78
21.0,81.5,10,6.89, 6.89, 454.12, 454.76
25.0,75.5,50,8.61, 8.63, 753.94, 754.82
18.0,79.5,10,1.98, 5.19, 311.03, 709.52
34.5,78.5,10,7, 7.03, 478.14, 478.53
32.0,77.0,50,8.38, 8.39, 712.41, 712.66
27.0,78.0,150,9.15, 9.19, 942.39, 943.91
24.0,77.0,150,9.47, 9.52, 1002.11, 1006.67
19.0,77.5,100,7.71, 7.78, 636.87, 638.87
23.0,74.5,50,8.48, 8.52, 759.36, 759.8
32.0,76.5,200,9.39, 9.4, 979.72, 981.22
21.0,76.5,200,9.43, 9.47, 1072.99, 1073.4
23.5,78.0,50,6.26, 6.86, 452.67, 458.17
27.5,80.5,100,8.58, 8.65, 785.22, 788.77
22.5,72.0,100,8.93, 8.98, 880.83, 882.42
20.0,80.0,150,9.34, 10.87, 1397.47, 1491.47
10.5,78.0,50,7.68, 7.81, 640.83, 642.15
13.0,75.5,10,7.25, 7.27, 570.75, 571.41
21.5,80.5,10,5.53, 5.76, 311.78, 316.25
